date,open,high,low,close,coin
2025-07-23,3548.42,3848.92,3523.94,3746.94,ethereum
2025-07-27,3745.23,3773.65,3530.3,3742.43,ethereum
2025-07-31,3739.71,3936.94,3708.13,3807.42,ethereum
2025-08-04,3807.38,3874.37,3373.55,3497.57,ethereum
2025-08-08,3497.79,3917.17,3495.1,3911.26,ethereum
2025-08-12,3907.6,4347.28,3884.64,4228.82,ethereum
2025-08-16,4226.51,4779.0,4226.51,4430.53,ethereum
2025-08-20,4437.62,4563.72,4074.5,4074.5,ethereum
2025-08-24,4080.65,4877.09,4074.75,4773.88,ethereum
2025-08-28,4782.43,4946.05,4341.54,4500.15,ethereum
2025-09-01,4503.25,4625.35,4279.96,4388.93,ethereum
2025-09-05,4385.61,4486.12,4238.45,4298.09,ethereum
2025-09-09,4302.63,4467.61,4250.48,4309.69,ethereum
2025-09-13,4307.14,4721.04,4279.58,4708.84,ethereum
2025-09-17,4707.47,4762.74,4431.42,4504.27,ethereum
2025-09-21,4503.4,4637.85,4440.0,4481.8,ethereum
2025-09-25,4481.48,4497.46,4100.86,4148.66,ethereum
2025-09-29,4152.85,4160.04,3833.75,4141.84,ethereum
2025-10-03,4139.68,4514.81,4089.64,4484.01,ethereum
2025-10-07,4484.18,4734.99,4443.26,4689.13,ethereum
2025-10-11,4690.84,4753.34,3574.79,3835.63,ethereum
2025-10-15,3841.67,4283.09,3664.38,4128.89,ethereum
2024-10-16,0.548052,0.554472,0.533236,0.540963,ripple
2024-10-20,0.54203,0.563574,0.537498,0.544328,ripple
2024-10-24,0.544074,0.559187,0.512423,0.525826,ripple
2024-10-28,0.525447,0.53437,0.496489,0.516356,ripple
2024-11-01,0.51652,0.53186,0.50316,0.509112,ripple
2024-11-05,0.508422,0.522698,0.493871,0.502874,ripple
2024-11-09,0.503211,0.56951,0.501304,0.554094,ripple
2024-11-13,0.553687,0.735256,0.546222,0.71257,ripple
2024-11-17,0.70875,1.22,0.646064,1.12,ripple
2024-11-21,1.12,1.18,1.014,1.11,ripple
2024-11-25,1.11,1.61,1.087,1.43,ripple
2024-11-29,1.43,1.53,1.3,1.53,ripple
2024-12-03,1.54,2.81,1.53,2.71,ripple
2024-12-07,2.71,2.82,2.2,2.42,ripple
2024-12-11,2.42,2.63,1.94,2.35,ripple
2024-12-15,2.36,2.52,2.24,2.4,ripple
2024-12-19,2.4,2.71,2.3,2.3,ripple
2024-12-23,2.3,2.42,1.98,2.2,ripple
2024-12-27,2.2,2.35,2.13,2.15,ripple
2024-12-31,2.15,2.23,2.01,2.06,ripple
2025-01-04,2.06,2.47,2.02,2.45,ripple
2025-01-08,2.45,2.49,2.27,2.28,ripple
2025-01-12,2.27,2.59,2.22,2.58,ripple
2025-01-16,2.58,3.18,2.34,3.17,ripple
2025-01-20,3.16,3.38,2.91,2.96,ripple
2025-01-24,2.95,3.34,2.94,3.12,ripple
2025-01-28,3.12,3.2,2.75,3.05,ripple
2025-02-01,3.06,3.21,2.98,3.04,ripple
2025-02-05,3.04,3.07,2.01,2.54,ripple
2025-02-09,2.53,2.56,2.29,2.43,ripple
2025-02-13,2.42,2.52,2.32,2.47,ripple
2025-02-17,2.47,2.82,2.42,2.73,ripple
2025-02-21,2.73,2.76,2.48,2.69,ripple
2025-02-25,2.69,2.71,2.28,2.28,ripple
2025-03-01,2.29,2.36,1.97,2.15,ripple
2025-03-05,2.14,2.96,2.12,2.46,ripple
2025-03-09,2.45,2.63,2.31,2.32,ripple
2025-03-13,2.32,2.35,1.92,2.24,ripple
2025-03-17,2.24,2.47,2.22,2.3,ripple
2025-03-21,2.3,2.57,2.23,2.43,ripple
2025-03-25,2.44,2.5,2.36,2.45,ripple
2025-03-29,2.45,2.48,2.16,2.2,ripple
2025-04-02,2.21,2.22,2.04,2.14,ripple
2025-04-06,2.14,2.19,1.97,2.15,ripple
2025-04-10,2.14,2.16,1.65,2.05,ripple
2025-04-14,2.05,2.23,1.93,2.12,ripple
2025-04-18,2.12,2.18,2.04,2.07,ripple
2025-04-22,2.07,2.14,2.04,2.08,ripple
2025-04-26,2.08,2.3,2.07,2.19,ripple
2025-04-30,2.18,2.34,2.17,2.24,ripple
2025-05-04,2.24,2.26,2.15,2.19,ripple
2025-05-08,2.19,2.21,2.09,2.13,ripple
2025-05-12,2.13,2.47,2.12,2.37,ripple
2025-05-16,2.37,2.63,2.37,2.38,ripple
2025-05-20,2.38,2.44,2.3,2.38,ripple
2025-05-24,2.38,2.47,2.3,2.3,ripple
2025-05-28,2.3,2.36,2.28,2.32,ripple
2025-06-01,2.32,2.32,2.1,2.18,ripple
2025-06-05,2.18,2.28,2.13,2.2,ripple
2025-06-09,2.2,2.29,2.08,2.26,ripple
2025-06-13,2.26,2.33,2.18,2.2,ripple
2025-06-17,2.19,2.33,2.1,2.26,ripple
2025-06-21,2.24,2.25,2.09,2.12,ripple
2025-06-25,2.12,2.22,1.92,2.19,ripple
2025-06-29,2.19,2.23,2.07,2.19,ripple
2025-07-03,2.19,2.31,2.15,2.23,ripple
2025-07-07,2.23,2.3,2.2,2.27,ripple
2025-07-11,2.27,2.55,2.25,2.55,ripple
2025-07-15,2.55,3.02,2.52,2.95,ripple
2025-07-19,2.96,3.65,2.82,3.42,ripple
2025-07-23,3.42,3.64,3.36,3.55,ripple
2025-07-27,3.55,3.55,2.99,3.17,ripple
2025-07-31,3.16,3.32,3.04,3.1,ripple
2025-08-04,3.1,3.17,2.75,2.95,ripple
2025-08-08,2.95,3.32,2.91,3.32,ripple
2025-08-12,3.32,3.37,3.12,3.14,ripple
2025-08-16,3.13,3.34,3.01,3.08,ripple
2025-08-20,3.08,3.15,2.86,2.86,ripple
2025-08-24,2.86,3.1,2.79,3.05,ripple
2025-08-28,3.05,3.12,2.84,2.97,ripple
2025-09-01,2.97,3.02,2.78,2.78,ripple
2025-09-05,2.78,2.88,2.71,2.8,ripple
2025-09-09,2.8,2.99,2.78,2.97,ripple
2025-09-13,2.98,3.13,2.94,3.11,ripple
2025-09-17,3.11,3.18,2.96,3.04,ripple
2025-09-21,3.04,3.13,2.97,2.98,ripple
2025-09-25,2.98,3.01,2.78,2.93,ripple
2025-09-29,2.93,2.94,2.7,2.86,ripple
2025-10-03,2.86,3.1,2.82,3.04,ripple
2025-10-07,3.04,3.09,2.94,2.99,ripple
2025-10-11,2.99,3.0,1.92,2.38,ripple
2025-10-15,2.37,2.64,2.32,2.51,ripple
2024-10-16,588.94,602.57,578.95,593.79,binancecoin
2024-10-20,594.89,605.96,584.72,598.06,binancecoin
2024-10-24,597.79,610.09,571.88,584.52,binancecoin
2024-10-28,584.33,598.87,568.68,588.35,binancecoin
2024-11-01,588.59,611.87,570.48,575.58,binancecoin
2024-11-05,575.08,586.19,544.26,552.0,binancecoin
2024-11-09,552.12,610.25,550.75,598.05,binancecoin
2024-11-13,597.94,662.85,597.78,629.14,binancecoin
2024-11-17,626.12,658.47,600.01,622.52,binancecoin
2024-11-21,622.58,645.77,600.35,607.3,binancecoin
2024-11-25,606.57,684.25,594.77,661.69,binancecoin
2024-11-29,661.34,675.08,602.1,654.59,binancecoin
2024-12-03,654.15,675.57,629.31,647.12,binancecoin
2024-12-07,647.45,788.84,630.67,732.54,binancecoin
2024-12-11,731.84,760.89,651.6,675.42,binancecoin
2024-12-15,675.88,732.4,659.76,715.45,binancecoin
